window,k_max,macd_mode,n_closed,n_open,win_rate,base_rate,z,p_value,expected_wins,wins,mean_ret,median_ret,mean_hold_bars,median_hold_bars,profit_factor,edge_pp
W2,50,none,2067,1,0.397677793904209,0.5374105450976979,-12.792322604383614,1.0,1110.8275967169416,822.0,0.003756869777216318,-0.012598372921303613,6.754233188195452,6.0,1.144105605893059,-13.973275119348894
W2,50,dif_gt_dea,327,0,0.40672782874617736,0.5307109664253462,-4.557600948258732,0.9999974129388057,173.5424860210882,133.0,0.00665470706318397,-0.009982873409603132,6.425076452599388,6.0,1.252962292954383,-12.398313767916886
W2,50,dif_gt_zero,502,0,0.43824701195219123,0.5410130194250923,-4.674767959752043,0.9999985285691778,271.5885357513963,220.0,0.00790727204323089,-0.00800491823684285,6.48207171314741,6.0,1.4164203403079934,-10.276600747290104
W2,50,both,35,0,0.45714285714285713,0.5439420563754289,-1.202958364232297,0.8855037835272583,19.037971973140014,16.0,0.011240992403005001,-0.007518010123266139,6.485714285714286,6.0,1.7539002880901724,-8.679919923257179
W2,50,hist_rising,1984,1,0.4022177419354839,0.5377748884319664,-12.160544304622404,1.0,1066.9453786490214,798.0,0.003963790356213838,-0.012498654837280854,6.824596774193548,7.0,1.151627864006937,-13.555714649648253
W2,50,recent_cross,209,0,0.40669856459330145,0.530757881958574,-3.6714029124578595,0.9998793886440217,110.92839732934196,85.0,0.006890371916894441,-0.012598372921303613,6.6650717703349285,6.0,1.2400842661808538,-12.405931736527254
W2,30,none,916,1,0.36026200873362446,0.5347069318149363,-10.64334894204724,1.0,489.7915495424817,330.0,-0.002946780354596431,-0.01905847502242386,6.8024017467248905,6.0,0.9080786533137194,-17.44449230813119
W2,30,dif_gt_dea,64,-128,0.359375,0.5237109509902638,-2.762779637698836,0.9971344277466434,33.51750086337688,23.0,-0.0031775268296072683,-0.016482876645440736,6.078125,5.0,0.9183443036102305,-16.433595099026377
W2,30,dif_gt_zero,49,0,0.32653061224489793,0.5340617969676822,-3.0607501603781855,0.9988960838061955,26.16902805141643,16.0,-0.00965897341018841,-0.022222222222222254,5.959183673469388,6.0,0.6536177649340074,-20.753118472278427
W2,30,both,0,0,,,,,,,,,,,,
W2,30,hist_rising,871,1,0.36280137772675086,0.5351065780865414,-10.253823805352372,1.0,466.07782951337754,316.0,-0.003488370256647834,-0.019235467935806105,6.841561423650976,6.0,0.8926533948430775,-17.23052003597905
W2,30,recent_cross,44,-88,0.3181818181818182,0.522108449550542,-2.8648312186046554,0.9979138421948558,22.97277178022385,14.0,-0.010452401643579474,-0.026480623826634464,6.25,4.5,0.7718893876299551,-20.392663136872386
W2,20,none,342,0,0.3362573099415205,0.529742563260534,-7.240515064342787,0.9999999999997765,181.17195663510265,115.0,-0.006579400598328488,-0.02176926766228776,6.745614035087719,6.0,0.8153466015180977,-19.348525331901357
W2,20,dif_gt_dea,22,-44,0.36363636363636365,0.5162181488094677,-1.647791529238428,0.9503022710599021,11.356799273808289,8.0,0.01713531059523449,-0.02249407668371939,5.636363636363637,4.0,1.5227449288893322,-15.258178517310405
W2,20,dif_gt_zero,4,-8,0.0,0.5237582634230256,-2.604054764618411,0.9953935982722082,2.0950330536921022,0.0,-0.026773474483057613,-0.02360100136735971,6.5,5.5,0.0,-52.37582634230256
W2,20,both,0,0,,,,,,,,,,,,
W2,20,hist_rising,312,0,0.33653846153846156,0.5299332030120342,-6.917264186313344,0.9999999999976977,165.33915933975464,105.0,-0.007853421275519483,-0.02208589731082361,6.746794871794871,6.0,0.7859498348223511,-19.33947414735726
W2,20,recent_cross,17,-34,0.4117647058823529,0.5140393221017424,-1.088099040846787,0.8617243064398519,8.738668475729622,7.0,0.011972504337507425,-0.027981350425684393,6.0,4.0,1.3599317382881715,-10.22746162193895
