stage,band,macd_mode,exit,lookahead,n_closed,n_open,win_rate,base_rate,z,p_value,expected_wins,wins,mean_ret,median_ret,mean_hold_bars,median_hold_bars,profit_factor,edge_pp,symbols_scored,symbols_with_positive_edge
S,b_20_50,dif_gt_dea,trail_10,False,96,2,0.4583333333333333,0.5690276999348867,-2.3217486197711623,0.989876762341628,54.62665919374912,44.0,0.06600456450009791,-0.016787958933196956,41.46875,19.0,2.444115404039932,-11.069436660155334,4,0
S,b_20_50,dif_gt_dea,fixed_5,False,114,0,0.543859649122807,0.5282039225038587,0.24133359971741095,0.4046482857627615,60.21524716543989,62.0,0.005744450802930003,0.006631502823311264,5.0,5.0,1.2066285462475188,1.5655726618948318,4,3
S,b_20_50,dif_gt_dea,fixed_10,False,105,0,0.5047619047619047,0.5488389343574271,-1.00718690043186,0.8430775165467912,57.62808810752985,53.0,0.008848088312749152,0.001372386318856611,10.0,10.0,1.2383606387877055,-4.40770295955224,4,1
S,b_20_50,dif_gt_dea,fixed_20,False,95,0,0.5684210526315789,0.5575883630341292,0.1096917667658436,0.4563269150911137,52.97089448824227,54.0,0.024194417127864652,0.02578679048850341,20.0,20.0,1.4706924877575,1.0832689597449763,4,2
S,b_20_50,dif_gt_zero,death_cross,False,245,0,0.47346938775510206,0.5436476599943619,-2.273800241924688,0.9885110001456804,133.19367669861867,116.0,0.01288627258632408,-0.0025502916307346135,6.636734693877551,7.0,1.7597011515074896,-7.017827223925988,5,0
S,b_20_50,dif_gt_zero,k_turn_down,False,245,0,0.5265306122448979,0.5327474832521949,-0.2594172700716132,0.6023433469456585,130.52313339678776,129.0,0.011761158333772883,0.0032161305069207113,4.285714285714286,4.0,1.9651055442918903,-0.6216871007296954,5,2
S,b_20_50,dif_gt_zero,k_over_80,False,191,0,0.7329842931937173,0.5710826791420595,4.473904553062662,3.840201816576547e-06,109.07679171613336,140.0,0.021195545873941974,0.033778483721560226,23.6282722513089,15.0,1.6709342827304898,16.19016140516578,5,5
S,b_20_50,dif_gt_zero,macd_death,False,206,0,0.5922330097087378,0.5769979496285828,0.3740761500213986,0.354173831114133,118.86157762348805,122.0,0.022845578958128884,0.010551869424213267,20.859223300970875,17.0,1.8124182575999073,1.5235060080155072,5,3
S,b_20_50,dif_gt_zero,trail_5,False,184,1,0.5054347826086957,0.5739782867239306,-1.971701898480818,0.9756781765983086,105.61200475720324,93.0,0.023147945332984095,0.001521951954303602,21.054347826086957,12.0,1.8418734830182695,-6.854350411523491,5,1
S,b_20_50,dif_gt_zero,trail_10,False,125,3,0.464,0.5912923082085694,-3.036802494790675,0.9988044896707109,73.91153852607117,58.0,0.06996233121117368,-0.007255288790015912,47.776,22.0,2.6229667905361698,-12.729230820856936,4,0
S,b_20_50,dif_gt_zero,fixed_5,False,224,0,0.6205357142857143,0.5385740955496873,2.3964008945886963,0.008278485135752996,120.64059740312996,139.0,0.014359773055467318,0.01211509139289113,5.0,5.0,1.9270433662999211,8.196161873602703,5,4
S,b_20_50,dif_gt_zero,fixed_10,False,212,0,0.5801886792452831,0.5610791014382761,0.49217833272414835,0.3112966401425533,118.94876950491454,123.0,0.007437951135958874,0.01517938260180951,10.0,10.0,1.2482783979186323,1.910957780700695,5,4
S,b_20_50,dif_gt_zero,fixed_20,False,191,0,0.5549738219895288,0.5783303470213406,-0.7303995057134901,0.767426989789536,110.46109628107604,106.0,0.01700123963969708,0.016879939397682175,20.0,20.0,1.4634289127507907,-2.3356525031811737,5,2
S,b_20_50,both,death_cross,False,17,0,0.47058823529411764,0.5413271171100086,-0.829676711425561,0.7966392040147502,9.202560990870145,8.0,0.017215048713192654,-0.004504323171785951,6.764705882352941,6.0,2.013253419700317,-7.073888181589094,0,0
S,b_20_50,both,k_turn_down,False,17,0,0.7058823529411765,0.5296477750802567,1.213559601577486,0.11245797082672404,9.004012176364364,12.0,0.027176489172658618,0.006289334431674787,4.352941176470588,4.0,3.386308088724982,17.62345778609198,0,0
S,b_20_50,both,k_over_80,False,15,0,0.8666666666666667,0.5755712161659557,2.0309323221250017,0.021130930213454104,8.633568242489336,13.0,0.036301540094486266,0.03747845721035259,31.2,20.0,2.2534649612747737,29.109545050071095,0,0
S,b_20_50,both,macd_death,False,17,0,0.35294117647058826,0.5484550728482898,-1.866459771702755,0.9690114663555037,9.323736238420926,6.0,-0.0053760119085900894,-0.01931594642034673,9.235294117647058,8.0,0.7874964753798733,-19.55138963777015,0,0
S,b_20_50,both,trail_5,False,17,0,0.5294117647058824,0.5677658752586501,-0.567247737640439,0.714727060545992,9.65201987939705,9.0,0.033342383575525485,0.0017716838911687738,27.0,16.0,2.097669389493462,-3.8354110552767717,0,0
S,b_20_50,both,trail_10,False,15,0,0.5333333333333333,0.595456763092679,-0.7611586971990898,0.7767188576704154,8.931851446390185,8.0,0.09560763320702777,0.03960383510959642,80.33333333333333,30.0,3.616358246738732,-6.21234297593457,0,0
S,b_20_50,both,fixed_5,False,17,0,0.6470588235294118,0.5345500429273877,0.6874641815394097,0.24589513238633492,9.08735072976559,11.0,0.019312434608313934,0.013433537030919096,5.0,5.0,1.9809384151173521,11.250878060202407,0,0
S,b_20_50,both,fixed_10,False,17,0,0.5294117647058824,0.5570329083592701,-0.4737496533852275,0.682160779626025,9.469559442107592,9.0,0.008078552107444969,0.010196147594234928,10.0,10.0,1.2849362720562552,-2.7621143653387747,0,0
S,b_20_50,both,fixed_20,False,17,0,0.5294117647058824,0.5677703963768778,-0.5651559351470996,0.7140161472374636,9.652096738406922,9.0,-0.007879536382172026,0.018712575331171655,20.0,20.0,0.8205242611763467,-3.8358631670995402,0,0
S,b_20_50,hist_rising,death_cross,False,750,1,0.42933333333333334,0.5401402249220599,-6.138615165357293,0.9999999995837803,405.1051686915449,322.0,0.007648418318167364,-0.008554771524565574,6.844,7.0,1.321837321751809,-11.080689158872659,5,0
