arm,window,symbol,n_closed,n_open,win_rate,base_rate,edge_pp,z,p_value,mean_ret,median_ret,mean_hold_bars,median_hold_bars,profit_factor,expected_wins,wins
A-NOMACD,W2,META,55,0,0.4,0.5658627429146587,-16.586274291465863,-2.622435061531813,0.9956348048121001,-0.00023050435440150416,-0.019161146028077836,7.236363636363636,7.0,0.9915003667746588,31.122450860306223,22.0
A-NOMACD,W2,AMD,294,0,0.3129251700680272,0.494844955965952,-18.19197858979248,-6.299557292588018,0.9999999998507515,-0.005588528109385142,-0.02857142857142858,6.755102040816326,6.0,0.8571220597643255,145.4844170539899,92.0
A-NOMACD-LOOKAHEAD,W2,NVDA,145,0,0.6689655172413793,0.5561020438819023,11.2863473359477,2.6542463865400476,0.003974288246930386,0.04727477629511585,0.01658082170164188,6.779310344827586,6.0,4.903960296140736,80.63479636287583,97.0
A-NOMACD-LOOKAHEAD,W2,AAPL,237,1,0.6624472573839663,0.5453098438145297,11.713741356943652,3.5583774626584876,0.00018657640267634703,0.04207482549256793,0.018226395049344202,6.890295358649789,7.0,5.195816607289972,129.23843298404356,157.0
A-NOMACD-LOOKAHEAD,W2,MSFT,184,0,0.6413043478260869,0.5584277469820816,8.287660084400528,2.1928187982290814,0.014160218500207109,0.025240942620224666,0.010814369661722001,6.630434782608695,6.0,4.910669961253432,102.75070544470302,118.0
A-NOMACD-LOOKAHEAD,W2,META,55,0,0.6181818181818182,0.5658627429146587,5.2319075267159505,0.6479605159811995,0.2585052441134505,0.03401800850981538,0.016814045655336507,7.236363636363636,7.0,4.354599038448002,31.122450860306223,34.0
A-NOMACD-LOOKAHEAD,W2,AMD,294,0,0.5952380952380952,0.494844955965952,10.039313927214321,3.385890542513901,0.0003547383814623014,0.04419071409920926,0.013405692926969581,6.755102040816326,6.0,4.034620971398183,145.4844170539899,175.0
A-NOMACD-CLOSE-FILL,W2,NVDA,145,0,0.3310344827586207,0.5526095123561034,-22.157502959748278,-5.454542936103729,0.9999999754505146,-0.007336896718049635,-0.02943464372735083,6.779310344827586,6.0,0.8200324427157673,80.128379291635,48.0
A-NOMACD-CLOSE-FILL,W2,AAPL,238,1,0.36554621848739494,0.5388357927531617,-17.32895742657668,-5.433152694189756,0.9999999723165051,0.005333335090751155,-0.019155074339584854,6.907563025210084,7.0,1.195242871158462,128.2429186752525,87.0
A-NOMACD-CLOSE-FILL,W2,MSFT,184,0,0.3423913043478261,0.5542799123204819,-21.18886079726558,-5.866722716095545,0.9999999977775346,-0.004511132939397336,-0.018095275345097583,6.630434782608695,6.0,0.7971202981110036,101.98750386696867,63.0
A-NOMACD-CLOSE-FILL,W2,META,55,0,0.38181818181818183,0.5687257258353414,-18.69075440171596,-2.9399073669438973,0.9983584480825117,-0.0028887852490377427,-0.014735023969994265,7.236363636363636,7.0,0.9025208021621235,31.279914920943778,21.0
A-NOMACD-CLOSE-FILL,W2,AMD,294,0,0.3231292517006803,0.4957849995383241,-17.265574783764382,-5.981421878458307,0.9999999988940093,-0.0036568035732798924,-0.0295930926418993,6.755102040816326,6.0,0.9074389787606225,145.76078986426728,95.0
A-NOK30,W2,NVDA,176,0,0.39204545454545453,0.5436027940785536,-15.155733953309907,-4.114300467378561,0.9999805822342982,0.0055373291313785605,-0.007691662642309305,4.0,3.5,1.271201242563477,95.67409175782544,69.0
A-NOK30,W2,AAPL,280,0,0.475,0.5355070485819462,-6.050704858194623,-2.090736864621289,0.9817241707803499,0.006755465863802511,-0.0013736233027087374,4.042857142857143,3.0,1.5574903178861121,149.94197360294493,133.0
A-NOK30,W2,MSFT,263,0,0.4144486692015209,0.544289595026019,-12.984092582449813,-4.293611788294443,0.9999912105129972,0.002912806480181243,-0.004253861032807893,4.114068441064639,3.0,1.2686772076733654,143.148163491843,109.0
A-NOK30,W2,META,80,0,0.4,0.5453278533830963,-14.532785338309628,-2.7252594648738695,0.9967874513429089,-0.0003540111149881439,-0.0049362727404803075,3.8625,3.0,0.9719481811926252,43.6262282706477,32.0
A-NOK30,W2,AMD,245,0,0.40816326530612246,0.48586721833195595,-7.770395302583349,-2.4982089192013808,0.9937588696957554,0.008523812352303152,-0.008620689655172376,3.979591836734694,3.0,1.4227718116275045,119.03746849132921,100.0
A-NOK30-LOOKAHEAD,W2,NVDA,176,0,0.8522727272727273,0.5436027940785536,30.866993319417368,8.149525710425289,1.8267717688454983e-16,0.053865289656773306,0.029625266752489554,4.0,3.5,15.267195139409973,95.67409175782544,150.0
A-NOK30-LOOKAHEAD,W2,AAPL,280,0,0.8714285714285714,0.5355070485819462,33.592152284662525,11.214626235674869,1.7282175228724247e-29,0.044106606658508594,0.031453610883627636,4.042857142857143,3.0,22.64955864872154,149.94197360294493,244.0
A-NOK30-LOOKAHEAD,W2,MSFT,263,0,0.8821292775665399,0.544289595026019,33.78396825405209,10.948588569151545,3.3745522614362756e-28,0.032489387403609196,0.020282082529377465,4.114068441064639,3.0,28.892498175252268,143.148163491843,232.0
A-NOK30-LOOKAHEAD,W2,META,80,0,0.825,0.5453278533830963,27.967214661690363,4.915931162388037,4.4180722434164433e-07,0.029090733396415235,0.018983485116520038,3.8625,3.0,9.693036338714892,43.6262282706477,66.0
A-NOK30-LOOKAHEAD,W2,AMD,245,0,0.8979591836734694,0.48586721833195595,41.209196534151346,12.84590131888864,4.5344738526030963e-38,0.07677066335293475,0.0502091549338628,3.979591836734694,3.0,57.69843683588886,119.03746849132921,220.0
A-NOK30-CLOSE-FILL,W2,NVDA,176,0,0.38636363636363635,0.541131000241593,-15.476736387795665,-4.198233420301765,0.9999865497361601,0.005937463440566283,-0.007833785213513189,4.0,3.5,1.328958214815637,95.23905604252037,68.0
A-NOK30-CLOSE-FILL,W2,AAPL,280,0,0.44285714285714284,0.5267957326834818,-8.393858982633894,-2.874886401602585,0.9979791355751415,0.00813977010772822,-0.0031874356864799447,4.042857142857143,3.0,1.6820522095275248,147.5028051513749,124.0
A-NOK30-CLOSE-FILL,W2,MSFT,263,0,0.3916349809885932,0.5392729581406654,-14.763797715207227,-4.87082150019167,0.9999994443239638,0.0024908274493500204,-0.00460993483579053,4.114068441064639,3.0,1.2276908224891339,141.828787990995,103.0
A-NOK30-CLOSE-FILL,W2,META,80,0,0.3625,0.5483027970863491,-18.58027970863491,-3.454834524639596,0.9997246846709475,0.000869249151027926,-0.00869037525610683,3.8625,3.0,1.0604935520256824,43.86422376690793,29.0
A-NOK30-CLOSE-FILL,W2,AMD,245,0,0.42857142857142855,0.4873864868532399,-5.881505828181133,-1.9062441205076275,0.9716907297998377,0.013280137265472499,-0.008403361344537785,3.979591836734694,3.0,1.7106776279512554,119.40968927904377,105.0
