entry_spec,window,horizon_bars,n_events,win_rate,base_rate,edge_pp,p_value,mean_ret,median_ret
kdj_macd_both,W1,1,352,0.5454545454545454,0.5396418539325842,0.5812691521961177,0.4343228419043827,0.003034914510028692,0.0021539026412904505
kdj_macd_both,W1,3,352,0.5397727272727273,0.5592406211666894,-1.9467893893962085,0.7851809456381997,0.005669466641971828,0.003614695458973971
kdj_macd_both,W1,5,352,0.6022727272727273,0.5739254415876697,2.834728568505762,0.15337238792074537,0.011744755879720624,0.010111053529865854
kdj_macd_both,W1,10,352,0.6164772727272727,0.6023079583888491,1.416931433842361,0.3123701236808898,0.02287630231230666,0.01663507349729798
kdj_macd_both,W1,20,349,0.6561604584527221,0.6319537742691033,2.420668418361882,0.18826673137464456,0.043127633557061146,0.03437714983664164
kdj_macd_both,W1,60,347,0.6685878962536023,0.696866615085589,-2.8278718831986738,0.8869990262827001,0.10507400226217048,0.0799620096163498
kdj_macd_both,W2,1,1044,0.5344827586206896,0.510022175167439,2.446058345325064,0.060405409563000466,0.003414575167929808,0.0019374205239981457
kdj_macd_both,W2,3,1044,0.524904214559387,0.5251877325303201,-0.02835179709331781,0.5196944460219162,0.006061382393480954,0.0024115006179153964
kdj_macd_both,W2,5,1044,0.5450191570881227,0.5366318832236425,0.8387273864480127,0.30398398596892,0.008907028519075698,0.005833176739260537
kdj_macd_both,W2,10,1044,0.5737547892720306,0.5573092068996098,1.6445582372420775,0.14906407294694263,0.01511939018898735,0.012084552092905265
kdj_macd_both,W2,20,1041,0.5984630163304515,0.5752999370724959,2.3163079257955577,0.06877700723940408,0.02929807640351535,0.022101207859444916
kdj_macd_both,W2,60,1039,0.6198267564966313,0.6221198401311753,-0.22930836345439465,0.5735802064621774,0.08250652733726516,0.057901519185742156
kdj_k_lt_30_dif_gt_dea,W1,1,9,0.5555555555555556,0.5416562630045776,1.3899292550977993,0.5990439115000661,-0.0030901526750062424,0.0024846983606314765
kdj_k_lt_30_dif_gt_dea,W1,3,9,0.4444444444444444,0.5625104114609362,-11.806596701649175,0.8532687352140189,0.004316981094317403,-0.0026718479573971665
kdj_k_lt_30_dif_gt_dea,W1,5,9,0.5555555555555556,0.578311244477786,-2.2755688922230455,0.682950192269465,0.0006652708319199544,0.004798516154101096
kdj_k_lt_30_dif_gt_dea,W1,10,9,0.4444444444444444,0.6014864921291078,-15.704204768466335,0.9038855410585077,0.0252777820228615,-0.007548397465782841
kdj_k_lt_30_dif_gt_dea,W1,20,9,0.8888888888888888,0.6316274781005071,25.72614107883817,0.10388211298826261,0.1452191449234218,0.08323451670804327
kdj_k_lt_30_dif_gt_dea,W1,60,9,0.7777777777777778,0.708583343972084,6.919443380569379,0.4639509227689775,0.2529024312696284,0.25056553366996304
kdj_k_lt_30_dif_gt_dea,W2,1,64,0.453125,0.4993949577334732,-4.6269957733473195,0.8068462165818449,-0.000570422525872227,-0.0009906806331970719
kdj_k_lt_30_dif_gt_dea,W2,3,64,0.484375,0.5126910267730614,-2.8316026773061442,0.7187238985231112,-0.010153233786276916,-1.648795487363408e-07
kdj_k_lt_30_dif_gt_dea,W2,5,64,0.484375,0.524522014085507,-4.014701408550703,0.7791617732129839,-0.012941397385875816,-0.00019087792645933188
kdj_k_lt_30_dif_gt_dea,W2,10,64,0.375,0.5409122679812595,-16.591226798125945,0.9973997554697266,-0.021144298137135354,-0.024148494081266958
kdj_k_lt_30_dif_gt_dea,W2,20,64,0.578125,0.553505401930269,2.461959806973102,0.39307329320373685,0.025887216120620223,0.025188701957955306
kdj_k_lt_30_dif_gt_dea,W2,60,64,0.671875,0.5951222329464101,7.675276705358991,0.12887665971002915,0.12042712238727257,0.08349618768378808
kdj_k_lt_50_macd_both,W1,1,10,0.5,0.53,-3.0000000000000027,0.6939201535082486,0.005236711617649115,-0.0023618464487016877
kdj_k_lt_50_macd_both,W1,3,10,0.4,0.5448275862068966,-14.482758620689662,0.8920867085405064,0.008285338836728806,-0.004776281503467372
kdj_k_lt_50_macd_both,W1,5,10,0.8,0.5623780945236309,23.76219054763692,0.11577081929768362,0.022689121971528857,0.014948884630955783
kdj_k_lt_50_macd_both,W1,10,10,0.6,0.5843667794062384,1.5633220593761599,0.5873184225584115,0.048260268885279754,0.05219179202069624
kdj_k_lt_50_macd_both,W1,20,10,0.7,0.6080724254998114,9.192757450018851,0.3927163838679988,0.05326698753526436,0.026252831497246665
kdj_k_lt_50_macd_both,W1,60,10,0.6,0.657296055151283,-5.7296055151283,0.7633744637039743,0.194034596122674,0.08426787234160826
kdj_k_lt_50_macd_both,W2,1,35,0.6285714285714286,0.5118854749771586,11.668595359426991,0.11258531869960853,0.008493218931778488,0.008346810414902261
kdj_k_lt_50_macd_both,W2,3,35,0.6571428571428571,0.5271350990214305,13.000775812142662,0.08493955321987151,0.014349261363998696,0.002971675644343641
kdj_k_lt_50_macd_both,W2,5,35,0.7142857142857143,0.538755721659135,17.55299926265793,0.027716180387508924,0.018072757146788923,0.008191184733064905
kdj_k_lt_50_macd_both,W2,10,35,0.5714285714285714,0.5603049384755895,1.112363295298191,0.5150568777106415,0.017411213726415197,0.010196147594234928
kdj_k_lt_50_macd_both,W2,20,35,0.6,0.5797353557537803,2.0264644246219654,0.4713545992246733,0.011412619642944924,0.01953125
kdj_k_lt_50_macd_both,W2,60,35,0.6571428571428571,0.6273325564717273,2.9810300671129886,0.42428028091384795,0.11895974785794579,0.07336332299763604
