ticker,days,median_dollar_volume,half_spread_bps,zero_volume_share,participation,cap_tier,fail_participation,fail_dollar_volume,fail_zero_volume,dropped,fail_history
AKR,4184,7931773.717403412,14.603006171141725,0.0,8.068813140694511e-05,small,False,False,False,False,False
ALG,4184,3800269.6060180664,20.49492920228942,0.0,0.0001684091041821093,small,False,False,False,False,False
ALGT,4184,17809197.722625732,23.375555493083674,0.0,3.593648686301633e-05,small,False,False,False,False,False
ALHC,1358,9461126.715803146,33.51719028596362,0.0,6.7645220196765e-05,small,False,False,False,False,False
ALKS,4184,34050783.208465576,27.165688330935026,0.0002390057361376673,1.879545607165023e-05,small,False,False,False,False,False
ALRM,2805,15815525.714111328,21.210646315371903,0.0,4.046656504304267e-05,small,False,False,False,False,False
AMN,4184,18456254.370498657,22.717446564052924,0.0,3.4676591856200576e-05,small,False,False,False,False,False
AMPH,3058,5118260.130310059,31.501311446838308,0.0,0.0001250424917268184,small,False,False,False,False,False
AMR,1391,41477280.364990234,32.691594533733166,0.0,1.5430134144962055e-05,small,False,False,False,False,False
AMRX,2085,6849314.73608017,28.268097704676535,0.0,9.344000453485788e-05,small,False,False,False,False,False
AMSF,4184,2124091.9525146484,22.324421381527483,0.0,0.00030130522327073613,small,False,False,False,False,False
AMTM,479,45113750.0,27.334842042490024,0.0,1.4186362250976697e-05,small,False,False,False,True,True
ANDE,4184,5237510.857009888,22.478727901085946,0.0,0.0001221954507537533,small,False,False,False,False,False
ANIP,4184,4907900.007476807,42.18202442995147,0.0,0.00013040200473216844,small,False,False,False,False,False
AORT,4184,2285257.886981964,26.76732248172651,0.0,0.0002800559200105065,small,False,False,False,False,False
AOSL,4104,1499413.4743213654,25.43716251150993,0.0,0.0004268335658979349,small,False,False,False,False,False
APAM,3386,8314940.672016144,10.604968149808155,0.0,7.696988171592301e-05,small,False,False,False,False,False
APLE,2833,17684654.0851593,13.619661365374082,0.0,3.6189568476608115e-05,small,False,False,False,False,False
APOG,4184,5420848.897361755,18.651559734077008,0.0,0.00011806268946391003,small,False,False,False,False,False
ARCB,4184,9747839.936447144,24.00704096738839,0.0,6.565557130324247e-05,small,False,False,False,False,False
ARLO,2023,6643564.018154144,30.167887966507664,0.0,9.633383500951322e-05,small,False,False,False,False,False
AROC,4184,7363238.688659668,17.376018752502073,0.0,8.691827428950281e-05,small,False,False,False,False,False
ARR,4184,4261295.913314819,11.159591265633862,0.0016730401529636712,0.0001501890535224883,small,False,False,False,False,False
ASO,1478,70844310.48641205,21.107138049125265,0.0,9.033894120865954e-06,small,False,False,False,False,False
ASTE,4184,4335888.3991241455,20.3245383439541,0.0,0.00014760527511023595,small,False,False,False,False,False
ASTH,4184,278999.9937057495,0.0,0.2447418738049713,0.0022939068617864673,small,True,True,True,True,False
