config,n_days,cagr,ann_simple,ann_vol,sharpe,max_dd,calmar,worst_day,best_day,positive_day_share
cc|tsmom252|p70x50|qqq200|vt15,2169,0.1116899707876371,0.109217969708873,0.08138679259618867,1.3419618371100137,0.08482296536434941,1.3167421146841882,-0.02579786194582298,0.026392587266327292,0.45965882895343474
cc|tsmom252|p70x50|qqq200|vt20,2169,0.14624650061776578,0.14227205886180447,0.10710505572803765,1.3283412056949324,0.11058039637641714,1.3225355072877543,-0.03439714926109731,0.03412689455551847,0.46104195481788846
cc|tsmom252|p80x0|off|off,2169,0.2737468349692258,0.265547104743104,0.21643388555774873,1.2269201934752076,0.25213060110111407,1.0857342733238589,-0.06935460058733474,0.06111046987003377,0.5071461502996772
cc|tsmom252|p80x0|off|vt15,2169,0.11461426376085426,0.11224453929396538,0.08614383193704754,1.3029898574281187,0.10215650172234991,1.12194781368261,-0.02579786194582298,0.026392587266327292,0.5066851083448594
cc|tsmom252|p80x0|off|vt20,2169,0.14988888283372925,0.1461534843203447,0.11351508554376982,1.287524769243027,0.1343396487893488,1.1157456803297323,-0.03439714926109731,0.03412689455551847,0.508068234209313
cc|tsmom252|p80x0|qqq200|off,2169,0.2806288238212309,0.26878236184515525,0.20624069368498193,1.303246013396858,0.23020572978571974,1.2190349218607461,-0.06935460058733474,0.06111046987003377,0.4449054863992623
cc|tsmom252|p80x0|qqq200|vt15,2169,0.11611534083106556,0.1133479995283179,0.08327689025059744,1.3610978890689873,0.09481001209485163,1.224716021709809,-0.02579786194582298,0.026392587266327292,0.44352236053480865
cc|tsmom252|p80x0|qqq200|vt20,2169,0.15225407066017693,0.14777876528773096,0.10965827867918594,1.3476298102404975,0.12350933966445321,1.2327332578557753,-0.03439714926109731,0.03412689455551847,0.4449054863992623
cc|tsmom252|p80x50|off|off,2169,0.284766048397336,0.2755029813625294,0.22245814475268827,1.2384486154409506,0.2517084848669373,1.1313327341661692,-0.06935460058733474,0.06111046987003377,0.549562010142923
cc|tsmom252|p80x50|off|vt15,2169,0.11598984241278165,0.11354048239522939,0.08685982384194839,1.3071691533916714,0.10416976631577501,1.113469354065515,-0.02579786194582298,0.026392587266327292,0.5486399262332873
cc|tsmom252|p80x50|off|vt20,2169,0.15174932897295812,0.14788140845536332,0.11448115429380291,1.2917532965805223,0.13696876910755884,1.1079118981772582,-0.03439714926109731,0.03412689455551847,0.5500230520977409
cc|tsmom252|p80x50|qqq200|off,2169,0.28166198891817973,0.2700735395939702,0.2085642962521689,1.2949174161019021,0.19868380024058552,1.4176394279609923,-0.06935460058733474,0.06111046987003377,0.46150299677270634
cc|tsmom252|p80x50|qqq200|vt15,2169,0.1162446382351423,0.11349400701203036,0.08363731372953855,1.356978147086845,0.08676115306385712,1.3398235746081548,-0.02579786194582298,0.026392587266327292,0.45965882895343474
cc|tsmom252|p80x50|qqq200|vt20,2169,0.152416575413302,0.14797344193268097,0.11014487739464843,1.343443702810554,0.11311579030211383,1.3474385406866909,-0.03439714926109731,0.03412689455551847,0.46104195481788846
cc|tsmom126|none|off|off,2169,0.2941397022870569,0.2812131404420111,0.21529464816064714,1.3061780348212713,0.27104022588177146,1.0852252699027836,-0.07468190153308563,0.06111046987003377,0.5435684647302904
cc|tsmom126|none|off|vt15,2169,0.1152728311571265,0.11246347183310132,0.08172221351016644,1.376167715025372,0.0899218780574188,1.281921971019334,-0.023552316085646396,0.028416460951019455,0.5389580451821115
cc|tsmom126|none|off|vt20,2169,0.151560068915374,0.14697047240494554,0.10778522565578386,1.3635493316523846,0.1180000329527735,1.2844070050050922,-0.0314030881141952,0.03682539280177469,0.5398801290917473
cc|tsmom126|none|qqq200|off,2169,0.2803593994952964,0.26773117984369077,0.20218318569398305,1.3242010156518096,0.2124141307086168,1.3198716985542023,-0.06329115912159154,0.06111046987003377,0.4601198709082526
